name,infrastructure_type,latitude,longitude
House of Prayer Temple Church of God in Christ,place_of_worship,41.6761454,-87.6378254
Gads Hill Center Social Settlement,school,41.854761,-87.6740388
House of God,place_of_worship,41.7092009,-87.6339371
Home Mission Pentecostal Tabernacle Church,place_of_worship,41.6777459,-87.633708
Hephzibah Christian Academy,school,41.7111454,-87.6233811
Grace Conservative Baptist Church,place_of_worship,41.7587923,-87.6003
Gospel Way Covenant Church,place_of_worship,41.7467016,-87.5603242
Grace Episcopal Church,place_of_worship,41.873459,-87.6288838
Grace Deliverance Tabernacle Church,place_of_worship,41.9023039,-87.765977
Gods Miracle Temple of Christ,place_of_worship,41.8667222,-87.6953456
Good Hope Freewill Baptist Church,place_of_worship,41.8741992,-87.6958879
Golgotha Lutheran Church,place_of_worship,41.7723936,-87.6710982
Goodhope Church of God in Christ,place_of_worship,41.8772543,-87.7456121
Holiness is the Way Gospel Temple,place_of_worship,41.7446885,-87.653827
Kennedy High School,school,41.790149,-87.7802405
Kingdom Hall of Jehovahs Witnesses,place_of_worship,41.692489,-87.6116156
Kingdom Hall of Jehovahs Witnesses Halsted Congregation,place_of_worship,41.9145659,-87.6486769
Kiddie Play School,school,41.9096961,-87.7578912
Kelvyn Park Presbyterian Church,place_of_worship,41.9266986,-87.7370019
Nebo Lutheran Church,place_of_worship,41.9519385,-87.7720752
Nebo Lutheran Church Hall,place_of_worship,41.9519653,-87.7725006
New Horizon Center for the Developmentally Disabled,school,41.9585268,-87.7956852
New Hope Spiritual Church,place_of_worship,41.7619781,-87.6542168
National College of Education Urban Campus,school,41.8813543,-87.6247439
New Covenant Church of God in Christ,place_of_worship,41.6986415,-87.6210845
New Home Baptist Church,place_of_worship,41.875254,-87.7448549
New Bethel Temple United Methodist Church,place_of_worship,41.8597639,-87.7057478
New Bethlehem Missionary Baptist Church,place_of_worship,41.768367,-87.6519946
New Testament Missionary Baptist Church,place_of_worship,41.851699,-87.7308886
New Philadelphia Missionary Baptist Church,place_of_worship,41.7950247,-87.6259963
New Saint Matthews Missionary Baptist Church,place_of_worship,41.8730876,-87.7622791
New Mount Zion Missionary Baptist Church,place_of_worship,41.73059,-87.6050476
New Precious Grove Missionary Baptist Church,place_of_worship,41.8733654,-87.7453342
New Mission Church of God in Christ,place_of_worship,41.8705877,-87.742834
New Miracle Temple Church of God in Christ,place_of_worship,41.9019762,-87.7633911
New Life Missionary Baptist Church,place_of_worship,41.8808657,-87.6950548
New Way Mission Church,place_of_worship,41.7869778,-87.66394
Listening Skills Training Center,school,41.9241957,-87.7640009
Little Friendly Spiritual Church,place_of_worship,41.7661948,-87.6543349
