hex_id,time_bin,season,count
-14664_6812,Morning (06-11),Spring,0
-14664_6812,Morning (06-11),Summer,1
-14664_6812,Morning (06-11),Fall,0
-14664_6812,Afternoon (12-17),Winter,0
-14664_6812,Afternoon (12-17),Spring,0
-14664_6812,Afternoon (12-17),Summer,0
-14664_6812,Afternoon (12-17),Fall,0
-14664_6812,Evening (18-23),Winter,0
-14664_6812,Evening (18-23),Spring,0
-14664_6812,Evening (18-23),Summer,0
-14664_6812,Evening (18-23),Fall,0
-14664_6818,Night (00-05),Winter,0
-14664_6818,Night (00-05),Spring,0
-14664_6818,Night (00-05),Summer,0
-14664_6818,Night (00-05),Fall,0
-14664_6818,Morning (06-11),Winter,0
-14664_6818,Morning (06-11),Spring,0
-14664_6818,Morning (06-11),Summer,0
-14664_6818,Morning (06-11),Fall,0
-14664_6818,Afternoon (12-17),Winter,0
-14664_6818,Afternoon (12-17),Spring,2
-14664_6818,Afternoon (12-17),Summer,0
-14664_6818,Afternoon (12-17),Fall,0
-14664_6818,Evening (18-23),Winter,0
-14664_6818,Evening (18-23),Spring,0
-14664_6818,Evening (18-23),Summer,0
-14664_6818,Evening (18-23),Fall,0
-14664_6822,Night (00-05),Winter,0
-14664_6822,Night (00-05),Spring,0
-14664_6822,Night (00-05),Summer,0
-14664_6822,Night (00-05),Fall,0
-14664_6822,Morning (06-11),Winter,0
-14664_6822,Morning (06-11),Spring,0
-14664_6822,Morning (06-11),Summer,0
-14664_6822,Morning (06-11),Fall,0
-14664_6822,Afternoon (12-17),Winter,0
-14664_6822,Afternoon (12-17),Spring,0
-14664_6822,Afternoon (12-17),Summer,0
-14664_6822,Afternoon (12-17),Fall,0
-14664_6822,Evening (18-23),Winter,0
-14664_6822,Evening (18-23),Spring,0
-14664_6822,Evening (18-23),Summer,2
-14664_6822,Evening (18-23),Fall,1
-14664_6823,Night (00-05),Winter,0
-14664_6823,Night (00-05),Spring,0
-14664_6823,Night (00-05),Summer,1
-14664_6823,Night (00-05),Fall,2
-14664_6823,Morning (06-11),Winter,0
-14664_6823,Morning (06-11),Spring,0
-14664_6823,Morning (06-11),Summer,0
-14664_6823,Morning (06-11),Fall,0
-14664_6823,Afternoon (12-17),Winter,0
-14664_6823,Afternoon (12-17),Spring,0
-14664_6823,Afternoon (12-17),Summer,0
-14664_6823,Afternoon (12-17),Fall,2
