hex_id,hex_q,hex_r,count,centroid_lat,centroid_lon
-7330_3408,-7330,3408,2,41.67218410564494,-87.53649315085902
-7341_3410,-7341,3410,2,41.69231115377578,-87.69208592219006
-7363_3439,-7363,3439,2,41.983445615470494,-87.80878050068837
-7363_3436,-7363,3436,2,41.95338968508535,-87.83211941638803
-7355_3439,-7355,3439,2,41.983445615470494,-87.6843062836235
-7339_3421,-7339,3421,2,41.80289736866588,-87.57539134369176
-7369_3439,-7369,3439,2,41.983445615470494,-87.90213616348703
-7350_3419,-7350,3419,2,41.782804953337255,-87.76210266928904
-7352_3436,-7352,3436,2,41.95338968508535,-87.66096736792383
-7344_3426,-7344,3426,2,41.85310084995869,-87.61428953652454
-7352_3418,-7352,3418,1,41.7727563838894,-87.8010008621218
-7361_3437,-7361,3437,1,41.96340990415634,-87.79322122355526
-7361_3439,-7361,3439,1,41.983445615470494,-87.77766194642214
-7362_3435,-7362,3435,1,41.9433678904833,-87.82433977782148
-7362_3438,-7362,3438,1,41.97342854763756,-87.8010008621218
-7351_3419,-7351,3419,1,41.782804953337255,-87.77766194642214
-7351_3424,-7351,3424,1,41.83302418181147,-87.73876375358938
-7351_3437,-7351,3437,1,41.96340990415634,-87.6376284522242
-7352_3421,-7352,3421,1,41.80289736866588,-87.77766194642214
-7330_3410,-7330,3410,1,41.69231115377578,-87.5209338737259
-7363_3442,-7363,3442,1,42.01348736449719,-87.78544158498869
-7364_3438,-7364,3438,1,41.97342854763756,-87.83211941638803
-7364_3440,-7364,3440,1,41.99346110759678,-87.81656013925492
-7364_3442,-7364,3442,1,42.01348736449719,-87.8010008621218
-7353_3420,-7353,3420,1,41.79285194828347,-87.8010008621218
-7353_3421,-7353,3421,1,41.80289736866588,-87.79322122355526
-7365_3442,-7365,3442,1,42.01348736449719,-87.81656013925492
-7330_3409,-7330,3409,1,41.68224841664469,-87.52871351229244
-7341_3423,-7341,3423,1,41.822983485491555,-87.59095062082484
-7341_3412,-7341,3412,1,41.71243190617529,-87.67652664505697
-7345_3423,-7345,3423,1,41.822983485491555,-87.65318772935727
-7343_3411,-7343,3411,1,41.702372316973985,-87.71542483788973
-7340_3422,-7340,3422,1,41.8129412144225,-87.5831709822583
-7358_3438,-7358,3438,1,41.97342854763756,-87.73876375358938
-7343_3414,-7343,3414,1,41.73254636233219,-87.69208592219006
-7344_3414,-7344,3414,1,41.73254636233219,-87.70764519932317
-7337_3407,-7337,3407,1,41.66211822084092,-87.65318772935727
-7335_3412,-7335,3412,1,41.71243190617529,-87.5831709822583
-7345_3414,-7345,3414,1,41.73254636233219,-87.72320447645627
-7334_3405,-7334,3405,1,41.64198173007882,-87.62206917509108
-7348_3417,-7348,3417,1,41.762706240002274,-87.74654339215594
-7333_3409,-7333,3409,1,41.68224841664469,-87.57539134369176
-7359_3439,-7359,3439,1,41.983445615470494,-87.74654339215594
-7359_3440,-7359,3440,1,41.99346110759678,-87.73876375358938
-7345_3428,-7345,3428,1,41.87317121837568,-87.61428953652454
-7332_3408,-7332,3408,1,41.67218410564494,-87.5676117051252
-7345_3429,-7345,3429,1,41.88320404003357,-87.60650989795799
-7360_3436,-7360,3436,1,41.95338968508535,-87.78544158498869
-7347_3415,-7347,3415,1,41.74260122916078,-87.74654339215594
-7349_3418,-7349,3418,1,41.7727563838894,-87.75432303072249
