hex_id,hex_q,hex_r,centroid_lon,centroid_lat,homicide_count,drug_count,infrastructure_total,drug_arrest_rate,drug_domestic_rate,drug_unique_blocks,drug_season_fall,drug_season_spring,drug_season_summer,drug_season_winter,drug_time_night,drug_time_morning,drug_time_afternoon,drug_time_evening,drug_location_alley,drug_location_apartment,drug_location_cta_platform,drug_location_gas_station,drug_location_park_property,drug_location_parking_lot_garage_non_resid,drug_location_residence,drug_location_sidewalk,drug_location_street,drug_location_vehicle_non_commercial,infra_alcohol,infra_arts_centre,infra_atm,infra_bar,infra_casino,infra_clinic,infra_community_centre,infra_courthouse,infra_e_cigarette,infra_fire_station,infra_fuel,infra_hospital,infra_laundry,infra_library,infra_monastery,infra_nightclub,infra_nursing_home,infra_park,infra_payment_terminal,infra_pharmacy,infra_place_of_worship,infra_playground,infra_police,infra_prison,infra_pub,infra_research_institute,infra_restaurant,infra_school,infra_social_facility,infra_stripclub,infra_supermarket,infra_tobacco,community_area_number,poverty_pct,per_capita_income,hardship_index,community_area_missing,is_hotspot
-14700_6870,-14700,6870,-87.63762845222419,41.9433678904833,3.0,4.0,2.0,1.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.4,60058,5.0,0,0
-14701_6836,-14701,6836,-87.77766194642214,41.7727563838894,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,8.9,25113,29.0,0,0
-14701_6837,-14701,6837,-87.77377212713887,41.77778086542214,1.0,2.0,3.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,8.9,25113,29.0,0,0
-14701_6838,-14701,6838,-87.7698823078556,41.782804953337255,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,64.0,8.9,25113,29.0,0,0
-14701_6840,-14701,6840,-87.76210266928904,41.792851948283484,0.0,5.0,2.0,1.0,0.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,8.8,26353,32.0,0,0
-14701_6841,-14701,6841,-87.75821285000578,41.797874855299035,5.0,2.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,56.0,8.8,26353,32.0,0,0
-14701_6842,-14701,6842,-87.75432303072249,41.80289736866589,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-1.0,19.7,28202,52.0,1,0
-14701_6843,-14701,6843,-87.75043321143922,41.80791948837628,9.0,7.0,4.0,1.0,0.0,4.0,3.0,1.0,3.0,0.0,0.0,3.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,56.0,8.8,26353,32.0,0,0
-14701_6844,-14701,6844,-87.74654339215593,41.8129412144225,20.0,20.0,3.0,1.0,0.0,12.0,5.0,4.0,5.0,6.0,0.0,3.0,9.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,56.0,8.8,26353,32.0,0,1
-14701_6845,-14701,6845,-87.74265357287265,41.81796254679682,5.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,8.8,26353,32.0,0,0
