variable,z_percentile,n,rho_spearman,p_value
burglary,4,15,0.19030380670684915,0.49691489203508277
burglary,5,16,0.017844975952362063,0.9477008307392548
burglary,6,15,0.30971609153430196,0.26128209990894835
burglary,7,15,0.6652712617033383,0.006798213787480312
burglary,8,15,0.23967446284809435,0.3895865136931632
burglary,9,16,0.5497407516509405,0.027381626214074882
burglary,10,15,0.24447047997614985,0.3798767852526669
burglary,11,15,0.600960349832477,0.017818435852733874
burglary,12,15,0.1472193705442146,0.6005703143016732
burglary,13,16,0.8675899102765405,1.3386959694664422e-05
burglary,14,15,0.6701016946547279,0.0062676351495722146
burglary,15,15,0.050473021106913464,0.8582244679694353
burglary,16,15,0.24596407029948048,0.3768799119783869
burglary,17,16,0.47020162929589404,0.06607230961048295
burglary,18,15,0.6540649756914224,0.008165544872163241
burglary,19,15,0.6921786025058261,0.004242966550071315
burglary,20,15,0.6244027193489923,0.012838390159943059
burglary,21,16,0.7007932013876212,0.0024944294015896078
burglary,22,15,0.5068340299791976,0.053833723815821376
burglary,23,15,0.14523251159066045,0.605548911921804
burglary,24,15,0.08221713113676805,0.7708266270833438
burglary,25,15,0.41873913807217095,0.1203083476464509
burglary,26,16,0.2544423242279936,0.34160956029914935
burglary,27,15,0.6257282518052654,0.012593198447904061
burglary,28,15,0.6510065466717856,0.008573789326223684
burglary,29,15,0.8575726600062201,4.3645094056303314e-05
burglary,30,16,0.8546332707509477,2.4822806361846436e-05
burglary,31,15,0.6300755127744476,0.011814471290336062
burglary,32,15,0.31358467929665884,0.25505809602993
burglary,33,15,0.2115647521778492,0.4490902204749807
burglary,34,16,0.535037330475539,0.032715300569995644
burglary,35,15,0.721561459893405,0.0023922896991777436
burglary,36,15,0.56398685164742,0.02853508238348421
burglary,37,15,0.6338656910463873,0.011166548729816253
burglary,38,16,0.8029574962230197,0.0001804205586952201
burglary,39,15,0.5745015080845645,0.02509126340450732
burglary,40,15,0.9040804587205367,3.7540039632000214e-06
burglary,41,15,0.2600429858645576,0.34926709333794004
burglary,42,16,0.6219863715264895,0.010093816791015026
burglary,43,15,0.47334240281537243,0.07472353428864868
burglary,44,15,,
burglary,45,15,,
burglary,46,16,-0.3897487146782007,0.1356232007219239
burglary,47,15,0.1857427881173119,0.5074746498453049
burglary,48,15,,
burglary,49,15,,
burglary,50,15,0.8911568795344654,8.26729359259895e-06
burglary,51,16,0.439030266055448,0.08888320309411057
burglary,52,15,0.6463765479215661,0.009222041280014926
burglary,53,15,0.5805166729176016,0.023268651052754274
burglary,54,15,0.8228537047403806,0.00016496189863434007
burglary,55,16,0.6172351399867956,0.010855784344657725
burglary,56,15,0.8497330233417442,6.0614941914129944e-05
burglary,57,15,0.6338408985897229,0.011170695048716012
burglary,58,15,0.45965064631986063,0.0847442687591563
burglary,59,16,0.1438134304293414,0.5951650865421491
