variable,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
infra_atm,0.02981270004262125,0.14619940195493844,-0.014153584014135481,0.19001931334120742,0.2769360305808164,0.3269868446517141,-0.28704109162601266,0.21205928707716087,-0.1049704893245832,-0.07010456089140642
infra_bar,0.0594726401924684,0.2836895721411845,0.08378372506819325,-0.11001592074090459,-0.0806734630319814,0.06442506825228857,-0.121307149081633,-0.0031563272272832157,0.03411812073830851,0.07570687494902838
infra_casino,0.027629629002346296,0.10562252435116735,0.5611873597602297,-0.13610760196736854,-0.02074037588006451,-0.07930398293163393,0.13107267521742869,0.1290655779110762,-0.12007190096976975,-0.09539321544177536
infra_clinic,0.04653343933313379,0.11536348816646595,-0.13002277119087544,-0.07854723095321178,0.04836905464258812,-0.2925121698335065,-0.1497270553183436,0.12795875587763836,0.0383272577135748,-0.14485058774237383
infra_community_centre,0.053442688957212076,0.01107750295564647,-0.10381327756678888,-0.11510980756829556,0.11489253025001962,-0.11969558489316881,-0.0014222744941789882,0.19955607488045315,-0.11196050079379259,-0.09253201595422393
infra_courthouse,0.04742235383822212,0.1286755720244045,-0.0385489940999139,0.4325701013559722,-0.21226193804551727,-0.11196056291656081,0.08149322813988803,0.0224100389780034,-0.025445389972400215,0.024019709723602838
infra_e-cigarette,0.02142593514696666,0.07636232048291752,-0.12429377703161124,-0.16685666601174512,0.03358457441092046,-0.20867502188430231,-0.17112419590484965,0.06818007552214059,-0.07951884427880561,-0.12340233058336383
infra_fire_station,0.025314023765775417,0.04870881014942315,0.045590862568799025,-0.04571239659290772,0.013353780165053175,0.08644329778779418,0.10006847124153287,0.068922869205339,-0.14094215507116523,-0.03765896676921206
infra_fuel,0.05595212098350863,-0.021267058664104697,0.040898226870542405,-0.07565300456537799,-0.0378070361456472,0.009900404588643396,-0.04729249483088092,0.022923678371259037,0.1824178490773968,0.01541697093389423
infra_hospital,0.01806685624801994,0.05491367181612397,-0.08303117141027681,-0.025124035493246787,0.27216253040945315,-0.38746285129242386,-0.11847417025937607,-0.1096001234043917,-0.1639498433928408,-0.11046071321644406
