variable,z_percentile,n,rho_spearman,p_value
criminal_damage,26,12,0.7252183438318911,0.007607170496193202
criminal_damage,27,21,0.4900453763823322,0.024125534584444424
criminal_damage,28,36,0.6423494911784771,2.4051600816630806e-05
criminal_damage,30,23,0.6905472156794129,0.0002649501556200324
criminal_damage,32,20,0.630246909622689,0.0028949434885134637
criminal_damage,33,7,0.09092412093166351,0.846279678370148
criminal_damage,34,31,0.5534095974654923,0.0012408521167625826
criminal_damage,35,10,0.8278273388702682,0.00310574314258827
criminal_damage,36,17,0.8887848167259165,1.8573327316418352e-06
criminal_damage,37,15,0.5301093164316254,0.042085821169263335
criminal_damage,38,15,0.8957066331510599,6.334933048156386e-06
criminal_damage,42,115,-0.10560921753628807,0.2613079138883976
criminal_damage,47,19,0.3576353983002863,0.13276125760436475
criminal_damage,48,26,0.9075085363396537,1.6023806230367425e-10
criminal_damage,50,16,0.5169445829497024,0.04031976951457193
criminal_damage,51,20,0.3727367968680534,0.1055448618549678
criminal_damage,52,17,0.5937335965445885,0.011977240008586252
criminal_damage,53,15,0.8535658484916002,5.1743520586667e-05
criminal_damage,54,16,0.7383360193506058,0.001090232111909295
criminal_damage,55,9,0.5396407334626633,0.13372692027021094
criminal_damage,57,36,0.78147785490397,1.8509197074804557e-08
criminal_damage,58,8,0.8193365776101958,0.012816501903671776
criminal_damage,59,23,0.7085472931556157,0.00015440965235526583
criminal_damage,60,19,0.7651150637593758,0.00013534013491500163
criminal_damage,61,9,0.4894906940904388,0.18108266951689933
criminal_damage,62,23,0.767481072102519,1.919833193378627e-05
criminal_damage,63,12,0.41331061631962435,0.1817214774016019
criminal_damage,65,27,0.35735915774197513,0.06725134124106556
criminal_damage,67,30,0.8872923814363892,6.481553197629164e-11
criminal_damage,68,24,0.8565217872555603,9.269261804920066e-08
criminal_damage,70,23,0.8576456416053947,1.6993960137431133e-07
criminal_damage,71,23,0.8212011313595337,1.570659882276681e-06
criminal_damage,73,18,0.9037310661878653,2.7322536871653307e-07
criminal_damage,75,57,0.9065821134768365,2.9147006993428647e-22
criminal_damage,78,28,0.7811438230133556,9.316769569829195e-07
criminal_damage,80,34,0.6769489992494182,1.1016459998205626e-05
criminal_damage,82,18,0.8285128387923145,2.1625974442598633e-05
criminal_damage,83,19,0.7463731012296736,0.0002423708408918419
criminal_damage,84,6,0.6473388749701496,0.16462459468137824
criminal_damage,85,24,0.9226593534833105,1.4225099059272512e-10
criminal_damage,86,9,0.017487435419566724,0.9643839666256007
criminal_damage,87,17,0.729196308355877,0.000895772262971787
criminal_damage,88,24,0.8563365544241768,9.393251069791953e-08
criminal_damage,90,27,0.8309638582526385,8.041463271100778e-08
criminal_damage,91,13,0.922868515623047,6.951564967223178e-06
criminal_damage,92,12,0.8161133356141735,0.0012051543656321285
criminal_damage,93,21,0.6551839318111061,0.0012654825083560574
criminal_damage,94,24,0.8967783644014206,3.009280028400492e-09
criminal_damage,96,11,0.8090909090909091,0.002558580199713916
criminal_damage,97,27,0.8378057805066046,4.989681064129478e-08
criminal_damage,98,24,0.791204924983911,4.15691632946344e-06
criminal_damage,99,5,0.051298917604257706,0.934712848108234
criminal_damage,100,14,0.9529444305732692,1.4156559054302094e-07
criminal_sexual_assault,1,17,0.3394857061237032,0.1824920314866832
criminal_sexual_assault,2,7,0.07562376774775251,0.871983897325915
criminal_sexual_assault,3,23,0.1509450434855877,0.49177235531277685
criminal_sexual_assault,4,14,0.055301888044448015,0.851056332204898
criminal_sexual_assault,5,25,0.5585009521714198,0.003711937468677536
criminal_sexual_assault,7,16,0.5145948051472752,0.04139722063431364
criminal_sexual_assault,8,14,0.793350963550639,0.0007085861846450439
criminal_sexual_assault,9,26,0.28183086377938765,0.16306150480377693
criminal_sexual_assault,10,12,0.9066558795710777,4.7631497342450255e-05
criminal_sexual_assault,11,21,0.29675363198819293,0.1914556587870705
